Station ID,Latitude,Longitude,Name,Elevation,Weighted Average Weatherscore
42516099999,25.5666666,91.8833333,"SHILLONG, INDIA",1598,2301.52334971884
72593023233,36.66352,-121.60928,"SALINAS AIRPORT, CA US",22.3,2303.03339437128
72292703177,33.12993,-117.27651,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",95.3,2305.35899181849
72290693112,32.69219,-117.20983,"NORTH ISLAND NAS, CA US",4.4,2305.67468238772
8522099999,32.6333333,-16.9,"FUNCHAL, PORTUGAL",56,2312.41950013464
72295599999,33.803392,-118.339611,"ZAMPERINI FIELD, CA US",31.39,2320.82005518959
72295503122,33.8016,-118.3419,"TORRANCE AIRPORT, CA US",27.4,2323.55839849215
93186099999,-37.671944,176.19611,"TAURANGA, NEW ZEALAND",3.96,2328.4287490024
63710099999,-0.3666667,35.35,"KERICHO, KENYA",2184,2329.16393259962
99817599999,35.1666666,-120.7333333,"CAL POLY PIER, CA US",16,2329.73257553865
68918099999,-34.4333333,19.2166666,"HERMANUS, SOUTH AFRICA",14,2332.98410865509
74505899999,36.933,-121.783,"WATSONVILLE MUNICIPAL, CA US",50,2334.0305380146
99999903178,,,,,2337.87642605737
95647099999,-34.95,116.7166666,"NORTH WALPOLE, AUSTRALIA",74,2340.87471911597
86876099999,-22.4666666,-43.2833333,"PICO DO COUTO, BRAZIL",1778.5,2345.99552327187
72393599999,34.717,-120.567,"VANDENBERG RANGE, CA US",100,2346.79579393835
72392699999,34.217,-119.1,"CAMARILLO, CA US",23,2353.46009496516
72295699999,33.917,-118.333,"JACK NORTHROP FIELD H, CA US",20,2355.92468557584
86969099999,-28.2833333,-49.9333333,"SAO JOAQUIM, BRAZIL",1411.5,2364.28012672881
94787099999,-31.433,152.917,"PORT MACQUARIE, AUSTRALIA",9,2369.43120439324
68928099999,-34.1833333,22.15,"MOSSEL BAY LGT H, SOUTH AFRICA",59,2371.46650672031
72290023188,32.7336,-117.1831,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",4.6,2377.60581061786
8512099999,37.741184,-25.69787,"PONTA DELGADA, PORTUGAL",78.94,2409.63317632746
56739099999,24.9833333,98.5,"TENGCHONG, CHINA",1696.9,2413.645289712
80342099999,1.392844,-77.290822,"ANTONIO NARINO, COLOMBIA",1813.86,2416.05905986388
42295099999,27.05,88.2666666,"DARJEELING, INDIA",2128,2416.99856067431
74505823277,36.93936,-121.79001,"WATSONVILLE MUNICIPAL AIRPORT, CA US",49.5,2417.47167930103
72295023174,33.93816,-118.3866,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",29.7,2425.56856068916
72394023273,34.89403,-120.45216,"SANTA MARIA PUBLIC AIRPORT, CA US",74.2,2432.75776285104
72288593197,34.02099,-118.44712,"SANTA MONICA MUNICIPAL AIRPORT, CA US",53.3,2436.91008878064
85585099999,-33.6333333,-78.8333333,"JUAN FERNANDEZ, CHILE",29,2438.28468913521
93173099999,-37.85,175.3333333,"HAMILTON AWS, NEW ZEALAND",53,2445.1528715192
72390099999,35.67,-121.28,"POINT PIEDRAS BLANCA, CA US",17,2445.92318840579
68285099999,-25.6916667,30.0344444,"BELFAST, SOUTH AFRICA",1879,2462.26704706383
8558199999,40.915867,-8.645919,"OVAR, PORTUGAL",17.06,2466.95435664871
68921099999,-34.8,20.0666666,"STRUISBAAI, SOUTH AFRICA",4,2478.28200418593
56651099999,26.8333333,100.2166667,"LIJING, CHINA",2382,2479.548904769
48302099999,19.9166666,99.0333333,"DOI ANG KHANG, THAILAND",1530,2491.77502368404
8544099999,40.9166666,-8.6333333,"OVAR MACEDA, PORTUGAL",22,2494.89999098686
