Station ID,Latitude,Longitude,Name,Elevation,Weighted Average Weatherscore,Rank,Percentile
48632099999,4.4666666,101.3666666,"CAMERON HIGHLANDS, MALAYSIA",1545.0,4.78232523414115,18068,99.58110566058535
91961099999,-25.0666666,-130.1,"PITCAIRN ISLAND AWS A, PITCAIRN ISLANDS",265.0,4.78812270732996,18067,99.57559389296148
76848099999,16.25,-92.1333333,"COMITAN CHIS., MEXICO",1646.0,4.80263554893207,18066,99.5700821253376
63738099999,-1.883,36.283,"MAGADI, KENYA",622.0,4.87044726071229,18065,99.56457035771372
67413099999,-8.85,31.3333333,"MBALA, ZAMBIA",1673.0,4.92981175901622,18064,99.55905859008985
76681099999,19.3166666,-99.1833333,"GEOGRAFIA UNAM, MEXICO",2278.0,4.97884077220922,18063,99.55354682246596
78501099999,17.407306,-83.932694,"ISLAS DEL CISNE, HONDURAS",2.0,5.02609048850254,18062,99.54803505484209
67217099999,-13.273986,35.266262,"LICHINGA, MOZAMBIQUE",1373.12,5.04187480120382,18061,99.54252328721822
67586099999,-13.789378,33.781,"LILONGWE INTERNATIONAL, MALAWI",1261.0,5.05372642886005,18060,99.53701151959433
85410099999,-26.467,-69.433,"CHORRILLOS, CHILE",3200.0,5.08201909238966,18059,99.53149975197046
84043099999,0.338419,-78.136422,"ATAHUALPA, ECUADOR",2226.25,5.1006200319104,18058,99.52598798434657
76775599999,17.0,-96.7333333,"XOXOCOTLAN INTERNATIONAL, MEXICO",1520.64,5.10288965754646,18057,99.5204762167227
80094099999,7.1265,-73.184778,"PALONEGRO, COLOMBIA",1187.8,5.13095425906272,18056,99.51496444909883
63460099999,7.10131,38.39664,"AWASSA LAKE, ETHIOPIA",1739.0,5.13643544730047,18055,99.50945268147495
86871099999,-22.3166666,-45.3666666,"MARIA DA FE, BRAZIL",1277.5,5.16097562651813,18054,99.50394091385107
63450099999,8.977889,38.799319,"BOLE INTERNATIONAL, ETHIOPIA",2325.62,5.17855501672518,18053,99.4984291462272
63333099999,11.0833333,39.7166667,"COMBOLCHA DESSIE, ETHIOPIA",1864.0,5.19608420631418,18052,99.49291737860332
41390099999,13.6833333,44.15,"TAIZ CIV MIL, YEMEN",1385.0,5.19746074576183,18051,99.48740561097944
84072599999,-0.1166666,-78.3666666,"MARISCAL SUCRE INTERNATIONAL AIRPORT, ECUADOR",2400.0,5.23457103684116,18050,99.48189384335556
41434099999,14.5833333,44.4166666,"DHAMAR, YEMEN",2425.0,5.25256981375156,18049,99.47638207573168
84072099999,-0.1666666,-78.4833333,"INAQUITO, ECUADOR",2812.0,5.30520258691838,18048,99.4708703081078
60034099999,23.718294,-15.931994,"DAKHLA, WESTERN SAHARA",6.09,5.31262536801018,18047,99.46535854048393
63887099999,-7.668633,35.752114,"IRINGA, TANZANIA",1425.85,5.36058381598767,18046,99.45984677286006
83681099999,-21.9166666,-46.3833333,"CALDAS, BRAZIL",1150.0,5.37567816012787,18045,99.45433500523619
76634099999,20.0833333,-98.3666666,"TULANCINGO HGO., MEXICO",2181.0,5.39116790816723,18044,99.4488232376123
84163099999,-1.5,-78.05,"SHELL MERA AEROPUERTO, ECUADOR",1054.0,5.41401876919903,18043,99.44331146998843
16717099999,37.9833333,23.5666666,"PIRAEUS, GREECE",2.0,5.41794039407718,18042,99.43779970236454
76675099999,19.2833333,-99.6833333,"TOLUCA MEX., MEXICO",2720.0,5.41844070908752,18041,99.43228793474067
84721099999,-15.3833333,-75.1666667,"SAN JUAN DE MARCONA, PERU",60.0,5.42548665081387,18040,99.4267761671168
63729099999,-1.3333333,31.8166667,"BUKOBA, TANZANIA",1137.0,5.44837519502028,18039,99.42126439949291
64900099999,5.55,12.3666666,"YOKO, CAMEROON",1031.0,5.46837675689351,18038,99.41575263186904
85470099999,-27.296111,-70.413611,"CHAMONATE, CHILE",298.0,5.4823654859209,18037,99.41024086424515
68587099999,-31.0666666,30.2333333,"PORT EDWARD, SOUTH AFRICA",12.0,5.50570013328552,18036,99.4047290966213
84006099999,-1.5,-78.067,"RIO AMAZONAS, ECUADOR",1043.0,5.50835913976004,18035,99.39921732899741
64892099999,6.039239,10.122639,"BAMENDA, CAMEROON",1239.01,5.51005140167686,18034,99.39370556137354
84217099999,-2.299167,-78.12075,"CORONEL E CARVAJAL, ECUADOR",1052.16,5.51980025006406,18033,99.38819379374965
68265099999,-25.9833333,28.1333333,"GRAND CENTRAL, SOUTH AFRICA",1621.0,5.52682956774822,18032,99.38268202612578
63789099999,-3.367794,36.633333,"ARUSHA, TANZANIA",1386.84,5.53520632083796,18031,99.3771702585019
63687099999,0.271342,34.787297,"KAKAMEGA, KENYA",1530.09,5.53749098564243,18030,99.37165849087802
93012099999,-35.1333333,173.2666666,"KAITAIA OBSERVATORY, NEW ZEALAND",85.0,5.54849595247878,18029,99.36614672325415
76423599999,24.124194,-104.528014,"DURANGO INTERNATIONAL, MEXICO",1860.49,5.55337928368493,18028,99.36063495563026
63705099999,0.042386,32.443503,"ENTEBBE INTERNATIONAL, UGANDA",1152.75,5.55783148039491,18027,99.35512318800639
63402099999,7.666094,36.816639,"JIMMA, ETHIOPIA",1676.4,5.57253139068507,18026,99.34961142038252
76577399999,20.9833333,-101.4833333,"GUANAJUATO INTERNATIONAL, MEXICO",1815.38,5.58448788817059,18025,99.34409965275864
84239099999,-2.889467,-78.984397,"MARISCAL LAMAR, ECUADOR",2531.66,5.58911727712798,18024,99.33858788513477
63932099999,-8.9333333,33.4666667,"MBEYA, TANZANIA",1707.0,5.60038551935003,18023,99.33307611751088
86691099999,-14.1333333,-47.5166666,"ALTO PARAISO DE GOIAS, BRAZIL",1261.5,5.61242207260906,18022,99.32756434988701
76679399999,19.436303,-99.072097,"LICENCIADO BENITO JUAREZ INTERNATIONAL, MEXICO",2229.91,5.63003782659001,18021,99.32205258226313
84564099999,-9.878811,-76.204797,"ALFEREZ FAP D F FERNANDINI, PERU",1850.13,5.63604819983095,18020,99.31654081463925
69345499999,,,,,5.67585855752914,18019,99.31102904701538
16759099999,35.0663889,24.75,"TYMBAKION AIRPORT, GREECE",7.0,5.68685969673432,18018,99.3055172793915
